iter	Passed	Remaining
718	13652	1537
719	13671	1519
720	13689	1499
721	13707	1480
722	13727	1461
723	13746	1443
724	13765	1424
725	13783	1404
726	13803	1386
727	13822	1367
728	13840	1347
729	13859	1328
730	13878	1310
731	13897	1291
732	13915	1271
733	13934	1252
734	13953	1233
735	13972	1214
736	13991	1195
737	14009	1176
738	14027	1157
739	14046	1138
740	14065	1119
741	14084	1100
742	14103	1081
743	14122	1062
744	14141	1043
745	14160	1025
746	14179	1006
747	14198	987
748	14217	968
749	14235	949
750	14253	929
751	14272	910
752	14291	892
753	14310	873
754	14328	854
755	14347	835
756	14365	816
757	14384	797
758	14402	777
759	14421	759
760	14439	740
761	14459	721
762	14478	702
763	14497	683
764	14516	664
765	14535	645
766	14554	626
767	14573	607
768	14593	588
769	14612	569
770	14631	550
771	14650	531
772	14669	512
773	14687	493
774	14706	474
775	14725	455
776	14743	436
777	14761	417
778	14779	398
779	14798	379
780	14817	360
781	14835	341
782	14853	322
783	14872	303
784	14892	284
785	14910	265
786	14928	246
787	14947	227
788	14966	208
789	14985	189
790	15004	170
791	15024	151
792	15043	132
793	15062	113
794	15081	94
795	15100	75
796	15120	56
797	15139	37
798	15159	18
799	15179	0
